序号,歌曲名,歌手,音频序号,块序号,块内序号,起始秒,来源
1-1,绝体绝命,阿良良木健 / 洛天依Official,1,1,1,0.0,bgm.txt (音频 1)
1-2,洪炉,铁痕电台-MSR / SKa2or,2,1,2,213.15,bgm.txt (音频 2)
1-3,让你知道,汪苏泷 / G.E.M.邓紫棋,3,1,3,647.27,bgm.txt (音频 3)
1-4,Theoretical Simulation,塞壬唱片-MSR / SKa2or,4,1,4,887.15,bgm.txt (音频 4)
1-5,Watch Me Shine,Joanna Pacitti,5,1,5,1038.25,bgm.txt (音频 5)
1-6,Strategic Evolution,cleanmindsounds,6,1,6,1233.98,bgm.txt (音频 6)
1-7,天上凉都,颜婷易兰,7,1,7,1355.58,bgm.txt (音频 7)
1-8,Windows,Infraction Music,8,1,8,1594.23,bgm.txt (音频 8)
1-9,Faded,Izzy Bizu,9,1,9,1757.87,bgm.txt (音频 9)
2-1,Shape of You,Ed Sheeran,10,2,1,1968.6,bgm.txt (音频 10)
2-2,Cure For Me,AURORA,11,2,2,2202.3,bgm.txt (音频 11)
2-3,风雨无阻,周华健,12,2,3,2401.15,bgm.txt (音频 12)
2-4,Dream in the Night,FELT,13,2,4,2674.48,bgm.txt (音频 13)
2-5,DAYBREAK FRONTLINE,Orangestar / IA,14,2,5,3011.42,bgm.txt (音频 14)
2-6,花月,Kirara Magic,15,2,6,3227.25,bgm.txt (音频 15)
2-7,亲爱的,潘玮柏,16,2,7,3444.7,bgm.txt (音频 16)
3-1,孤单北半球,Funk / Hiphop,,3,1,,"P3/[1]Funk+Hiphop版《孤单北半球》！ - 1.Funk+Hiphop版《孤单北半球》！(Av116912365242226,P1).mp3"
3-2,渇く、憂う,トゲナシトゲアリ,,3,2,,P3/[2]トゲナシトゲアリ - 渇く、憂う.mp3
3-3,夏の幻,GARNET CROW,,3,3,,P3/[3]GARNET CROW - 夏の幻.mp3
3-4,The Nights,Avicii / Nicholas Furlong,,3,4,,"P3/[4]Avicii,Nicholas Furlong - The Nights.MP3"
3-5,上上签,言和,,3,5,,P3/[5]言和 - 上上签.MP3
3-6,随心歌,西瓜JUN,,3,6,,P3/[6]西瓜JUN - 随心歌.mp3
3-7,只是有人留在了昨天,供销社乐队,,3,7,,P3/[7]供销社乐队 - 只是有人留在了昨天.mp3
3-8,出卖,周传雄,,3,8,,P3/[8]周传雄 - 出卖.mp3
3-9,只对你有感觉,林俊杰,,3,9,,P3/[9]林俊杰 - 只对你有感觉.mp3
4-1,不知,璟轩 / 醉雪 / 汐音社,17,4,1,5714.08,bgm.txt (音频 17)
4-2,Acrise,EspiDev / L. Mity,18,4,2,5956.87,bgm.txt (音频 18)
4-3,飞花入梦,兰音Reine,19,4,3,6107.9,bgm.txt (音频 19)
4-4,双契辞,龟娘 / 银临,20,4,4,6310.33,bgm.txt (音频 20)
4-5,Shadows,CH17S,21,4,5,6532.37,bgm.txt (音频 21)
4-6,云端循环,逆时针向,22,4,6,6755.05,bgm.txt (音频 22)
4-7,孑然记,KBShinya / 兰音Reine,23,4,7,6926.32,bgm.txt (音频 23)
4-8,由我执棋 (Checkmate),椒椒JMJ,24,4,8,7150.8,bgm.txt (音频 24)
4-9,别寒江,三无Marblue,25,4,9,7348.93,bgm.txt (音频 25)
5-1,A Moment Apart,ODESZA,26,5,1,7576.08,bgm.txt (音频 26)
5-2,Fantasy,Tobu / Itro,27,5,2,7810.32,bgm.txt (音频 27)
5-3,Windfall,TheFatRat,28,5,3,7992.0,bgm.txt (音频 28)
5-4,Rada,Thomas Bergersen,29,5,4,8220.37,bgm.txt (音频 29)
5-5,White Sails,Marcus Warner,30,5,5,8482.88,bgm.txt (音频 30)
5-6,Exodus,Maksim Mrvica,31,5,6,8705.88,bgm.txt (音频 31)
5-7,后会无期,徐良 / 汪苏泷,32,5,7,8895.93,bgm.txt (音频 32)
5-8,梦里可是谁,蔡国权,33,5,8,9102.12,bgm.txt (音频 33)
5-9,两忘烟水里,关菊英 / 关正杰,34,5,9,9341.75,bgm.txt (音频 34)
6-1,兔侠功夫操,凤凰传奇,35,6,1,9534.92,bgm.txt (音频 35)
6-2,你是我的菜,王麟,36,6,2,9760.87,bgm.txt (音频 36)
6-3,Next 2 U -eUC-,澤野弘之 (さわの ひろゆき) / naNami,37,6,3,9967.4,bgm.txt (音频 37)
6-4,Sunny,Boney M_,38,6,4,10211.77,bgm.txt (音频 38)
6-5,花簪 HANAKANZASHI,立花理香 (たちばな りか),39,6,5,10450.97,bgm.txt (音频 39)
6-6,故剑情深,宁采臣丶在唱歌,40,6,6,10754.2,bgm.txt (音频 40)
6-7,婚礼进行曲 (Wedding March) (门德尔松版),Classical Artists,41,6,7,10978.8,bgm.txt (音频 41)
6-8,HandClap,Fitz and The Tantrums,42,6,8,11284.93,bgm.txt (音频 42)
7-1,Night of fire,Niko,,7,1,,BGM/7-1 Niko - Night of fire.wav
7-2,GET ME POWER,Mega NRG Man,,7,2,,BGM/7-2 Mega NRG Man - GET ME POWER.wav
7-3,Crazy Little Love,Nuage,,7,3,,BGM/7-3 Nuage - Crazy Little Love.wav
7-4,Reinvent,Sound Souler,,7,4,,BGM/7-4 Sound Souler - Reinvent.wav
7-5,Paradise,Sound Souler,,7,5,,BGM/7-5 Sound Souler - Paradise.wav
7-6,3rd Avenue,Sound Souler,,7,6,,BGM/7-6 Sound Souler - 3rd Avenue.wav
7-7,Scar in the Earth,猫叉Master (さとう なおゆき),,7,7,,BGM/7-7 猫叉Master (さとう なおゆき) - Scar in the Earth.wav
